Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name	docid	chrname	seqid	speciescode	genomefa
27	assembled-molecule	27	Chromosome	CM027970.1	<>	na	Primary Assembly	6867657	na	8871851	chr27	CM027970.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
28	assembled-molecule	28	Chromosome	CM027971.1	<>	na	Primary Assembly	6370545	na	8871851	chr28	CM027971.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
33	assembled-molecule	33	Chromosome	CM027972.1	<>	na	Primary Assembly	3405774	na	8871851	chr33	CM027972.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
4a	assembled-molecule	4a	Chromosome	CM027975.1	<>	na	Primary Assembly	24535566	na	8871851	chr4a	CM027975.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
W	assembled-molecule	W	Chromosome	CM027973.1	<>	na	Primary Assembly	8373266	na	8871851	chrW	CM027973.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
Z	assembled-molecule	Z	Chromosome	CM027974.1	<>	na	Primary Assembly	82723677	na	8871851	chrZ	CM027974.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
Scaffold_523	unplaced-scaffold	na	na	JABVCD010000554.1	<>	na	Primary Assembly	4796034	na	8871851	chrScaffold_523	JABVCD010000554.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
Scaffold_724	unplaced-scaffold	na	na	JABVCD010000755.1	<>	na	Primary Assembly	1253303	na	8871851	chrScaffold_724	JABVCD010000755.1	DRONO	GCA_016128335.1_ZJU1.0_genomic.fna
chr1	assembled-molecule	1	Chromosome	CM007505.1	<>	na	Primary Assembly	126111278	na	905371	chrchr1	CM007505.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr2	assembled-molecule	2	Chromosome	CM007506.1	<>	na	Primary Assembly	109099092	na	905371	chrchr2	CM007506.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr3	assembled-molecule	3	Chromosome	CM007507.1	<>	na	Primary Assembly	99065126	na	905371	chrchr3	CM007507.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr4	assembled-molecule	4	Chromosome	CM007508.1	<>	na	Primary Assembly	118925238	na	905371	chrchr4	CM007508.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr5	assembled-molecule	5	Chromosome	CM007509.1	<>	na	Primary Assembly	101968767	na	905371	chrchr5	CM007509.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr6	assembled-molecule	6	Chromosome	CM007510.1	<>	na	Primary Assembly	81625993	na	905371	chrchr6	CM007510.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr7	assembled-molecule	7	Chromosome	CM007511.1	<>	na	Primary Assembly	88937032	na	905371	chrchr7	CM007511.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr8	assembled-molecule	8	Chromosome	CM007512.1	<>	na	Primary Assembly	63899423	na	905371	chrchr8	CM007512.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr9	assembled-molecule	9	Chromosome	CM007513.1	<>	na	Primary Assembly	36416876	na	905371	chrchr9	CM007513.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr10	assembled-molecule	10	Chromosome	CM007514.1	<>	na	Primary Assembly	27378400	na	905371	chrchr10	CM007514.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr11	assembled-molecule	11	Chromosome	CM007515.1	<>	na	Primary Assembly	33653803	na	905371	chrchr11	CM007515.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr12	assembled-molecule	12	Chromosome	CM007516.1	<>	na	Primary Assembly	29578363	na	905371	chrchr12	CM007516.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr13	assembled-molecule	13	Chromosome	CM007517.1	<>	na	Primary Assembly	23730878	na	905371	chrchr13	CM007517.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr14	assembled-molecule	14	Chromosome	CM007518.1	<>	na	Primary Assembly	23292764	na	905371	chrchr14	CM007518.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr15	assembled-molecule	15	Chromosome	CM007519.1	<>	na	Primary Assembly	7532730	na	905371	chrchr15	CM007519.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr16	assembled-molecule	16	Chromosome	CM007520.1	<>	na	Primary Assembly	6535397	na	905371	chrchr16	CM007520.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr17	assembled-molecule	17	Chromosome	CM007521.1	<>	na	Primary Assembly	5615363	na	905371	chrchr17	CM007521.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chr18	assembled-molecule	18	Chromosome	CM007522.1	<>	na	Primary Assembly	4400328	na	905371	chrchr18	CM007522.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
chrZ	assembled-molecule	Z	Chromosome	CM007504.1	<>	na	Primary Assembly	40081585	na	905371	chrchrZ	CM007504.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf18c	unplaced-scaffold	na	na	KV877912.1	<>	na	Primary Assembly	2303269	na	905371	chrpcf18c	KV877912.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf1c	unplaced-scaffold	na	na	KV877913.1	<>	na	Primary Assembly	9009784	na	905371	chrpcf1c	KV877913.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf23b	unplaced-scaffold	na	na	KV877914.1	<>	na	Primary Assembly	2659580	na	905371	chrpcf23b	KV877914.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf25a	unplaced-scaffold	na	na	KV877915.1	<>	na	Primary Assembly	1178577	na	905371	chrpcf25a	KV877915.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf2b	unplaced-scaffold	na	na	KV877916.1	<>	na	Primary Assembly	6359600	na	905371	chrpcf2b	KV877916.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf2c	unplaced-scaffold	na	na	KV877917.1	<>	na	Primary Assembly	4990767	na	905371	chrpcf2c	KV877917.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf2e	unplaced-scaffold	na	na	KV877918.1	<>	na	Primary Assembly	8695319	na	905371	chrpcf2e	KV877918.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf2g	unplaced-scaffold	na	na	KV877919.1	<>	na	Primary Assembly	3614853	na	905371	chrpcf2g	KV877919.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf33b	unplaced-scaffold	na	na	KV877920.1	<>	na	Primary Assembly	6055273	na	905371	chrpcf33b	KV877920.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf33c	unplaced-scaffold	na	na	KV877921.1	<>	na	Primary Assembly	12551663	na	905371	chrpcf33c	KV877921.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf33f	unplaced-scaffold	na	na	KV877922.1	<>	na	Primary Assembly	8096016	na	905371	chrpcf33f	KV877922.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf33g	unplaced-scaffold	na	na	KV877923.1	<>	na	Primary Assembly	2004917	na	905371	chrpcf33g	KV877923.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf33h	unplaced-scaffold	na	na	KV877924.1	<>	na	Primary Assembly	5728408	na	905371	chrpcf33h	KV877924.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf33k	unplaced-scaffold	na	na	KV877925.1	<>	na	Primary Assembly	3309361	na	905371	chrpcf33k	KV877925.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
pcf4c	unplaced-scaffold	na	na	KV877926.1	<>	na	Primary Assembly	7658646	na	905371	chrpcf4c	KV877926.1	FALPE	GCA_001887755.1_falPer2_genomic.fna
